,Nombre,Apellidos,Area,Num_Publicaciones,Publicacion,Extra
21,María Aránzazu,Calzadilla Medina,Derecho Civil,4,"La indignidad para suceder del progenitor que no prestó alimentos: propuesta de lege ferendaBoletín del Ministerio de la Presidencia, Justicia y Relaciones con las Cortes, Núm. 2278-Bis",
24,Bernardo Antonio,Candela Sanjuan,Dibujo,3,"Exposición: «Canarias diseña. Canarias diseñada. Recorrido por el diseño gráfico que ha marcado nuestras vidas»Arxiu: Revista de l'Arxiu Valencià del Disseny, Núm. 3, pp. 162-172",
23,Bernardo Antonio,Candela Sanjuan,Dibujo,3,"El diseño gráfico y los modelos visuales en la economía circulargrafica, pp. 1-13",
22,Bernardo Antonio,Candela Sanjuan,Dibujo,3,"Aproximación del análisis de modelos visuales para la identificación de ecosistemas de diseño circularCuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos, Núm. 222, pp. 161-188",
25,Luis Javier,Capote Pérez,Derecho Civil,2,"Comentario de la Sentencia del Tribunal Supremo (Sala de lo Contencioso Administrativo. Sección Quinta) 1248 / 2024, de 11 de julioRevista española de estudios agrosociales y pesqueros, Núm. 263, pp. 349-358",
26,Luis Javier,Capote Pérez,Derecho Civil,2,"Comentario del Auto del Tribunal Supremo (Sala de lo Contencioso Administrativo. Sección Quinta) de 4 de mayo de 2023Revista española de estudios agrosociales y pesqueros, Núm. 262, pp. 178-181",
27,Lara,Carrascosa Puertas,Periodismo,1,"Caracterizaciones de Manuela Carmena como alcaldesa de Madrid en los diferentes públicosComunicación y Género, Vol. 7, Núm. 2",
28,Esperanza María,Ceballos Vacas,Métodos de Investigación y Diagnóstico en Educación,1,"La participación colectiva de las familias en la encrucijada: El reto de la participación democrática de las AMPA en los centros escolaresRIO: Revista Internacional de Organizaciones, Núm. 32, pp. 81-101",
124,María José,Chivite de León,Filología Inglesa,0,,
29,Noemi,Cinelli,Historia del Arte,2,"Italia en Chile: esculturas desde el Museo de Copias de Santiago hasta el espacio de la Paulonia (siglos XIX-XXI).Atrio. Revista de Historia del Arte, Núm. 30, pp. 190-207",
30,Noemi,Cinelli,Historia del Arte,2,"La Revista de Bellas Artes en Santiago de Chile y las voces de Grez, Lira y Mochi (1889-1890)Laboratorio de Arte: Revista del Departamento de Historia del Arte, Núm. 36, pp. 303-328",
125,Olegaria del Pino,Cuesta Ojeda,Sociología,0,,
123,Celsa María,Cáceres Rodríguez,Trabajo Social y Servicios Sociales,0,,
31,Lucía,Dans Álvarez de Sotomayor,Derecho del Trabajo y de la Seguridad Social,1,"El Derecho del Trabajo y de la Seguridad Social en España 2023Revista General de Derecho del Trabajo y de la Seguridad Social, Núm. 67",
126,Eva Rosa,Darias Beautell,Filología Inglesa,0,,
127,Coral Anaid,Díaz Cano,Filología Inglesa,0,,
34,Cristian,Díaz Hernández,Sociología,3,"Pornography Consumption and Sexual Behaviors in Spanish Adolescents and Young Adults: Findings from a Sample of Girls and Boys Aged 15 to 29 YearsGéneros, Vol. 13, Núm. 3, pp. 156-174",
32,Cristian,Díaz Hernández,Sociología,3,"La vida después del cáncer de mama: consecuencias laborales y económicasAtlánticas: revista internacional de estudios feministas, Vol. 9, Núm. 2",
35,Matilde Candelaria,Díaz Hernández,Psicología Social,1,"Experiencias compartidas en materia de igualdad de género en las Universidades de Cabo Verde y La LagunaRevista española de educación comparada, Núm. 45, pp. 228-243",
33,Cristian,Díaz Hernández,Sociología,3,"Pornografía vs coeducación: un abordaje necesario ante el incremento del consumo pornográfico en adolescentes y jóvenesRevista española de educación comparada, Núm. 45, pp. 209-227",
36,Betty Coromoto,Estévez Cedeño,Sociología,1,"Integración de la inteligencia artificial en la educación superior: Un análisis con perspectiva de géneroCTS: Revista iberoamericana de ciencia, tecnología y sociedad, Vol. 19, Núm. 56, pp. 117-139",
128,Inmaculada Sandra,Fumero Dios,Derecho del Trabajo y de la Seguridad Social,0,,
37,Natividad,Garrido Rodríguez,Lógica y Filosofía de la Ciencia,2,"Frames and ref raming in medicineAnálisis. Revista de investigación filosófica, Vol. 11, Núm. 2, pp. 325-335",
38,Natividad,Garrido Rodríguez,Lógica y Filosofía de la Ciencia,2,"Perspectivas personales en la literaturaAnálisis. Revista de investigación filosófica, Vol. 11, Núm. 2, pp. 241-256",
39,Laura Sabina,González Carracedo,Historia Moderna,1,"¿La raza como categoría histórica en el siglo XV? La colonialidad de género y las mujeres canarias infielesHistoria y Memoria, Núm. 28, pp. 23-60",
41,Dulce María,González Doreste,Filología Francesa,1,"“Dames hardies et chevalereuses”: amazonas, preuses y Juana de Arco en los tratados de Vies de Femmes Illustres (siglos XV y XVI)Revista Chilena de Estudios Medievales, Núm. 25, pp. 7-40",
40,Isabel,González Díaz,Filología Inglesa,1,"Interseccionalidad: ¿quién dijo que era fácil?Nerter: Revista dedicada a la literatura, el arte y el conocimiento, Núm. 40, pp. 9-14",
42,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Analysis Learning Model With Biometric Devices for Business Simulation Games: Brazilian Case StudyIEEE Access, Vol. 12, pp. 95548-95564",
43,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Automatic captions on video calls: a must for the older adultsUniversal Access in the Information Society, Vol. 23, Núm. 1, pp. 75-98",
49,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"La transformación del panorama educativo por la Inteligencia Artificial Generativa: El caso de ChatGPTCuadernos de pedagogía, Núm. 549",
44,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Complex thinking and adopting artificial intelligence tools: a study of university studentsFrontiers in Education, Vol. 9",
45,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Empowering soft skills in children with ADHD through the co-creation of tangible tabletop gamesUniversal Access in the Information Society, Vol. 23, Núm. 1, pp. 3-21",
46,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Gamification and Immersive Experiences: A Gamified Approach for Promoting Active AgingApplied Sciences (Switzerland), Vol. 14, Núm. 23",
47,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Gender and Accent Biases in AI-Based Tools for Spanish: A Comparative Study between Alexa and WhisperApplied Sciences (Switzerland), Vol. 14, Núm. 11",
48,Carina Soledad,González González,Arquitectura y Tecnología de Computadores,8,"Inclusión tecnológica y competencias digitales en personas mayores: hacia un envejecimiento activo y conectadoCampus Virtuales, Vol. 13, Núm. 2, pp. 199-213",
51,Teresa,González Pérez,Teoría e Historia de la Educación,5,"Diez investigadores reflexionan acerca del legado de Revista de HistoriaCliocanarias, Núm. 6, pp. 407-434",
52,Teresa,González Pérez,Teoría e Historia de la Educación,5,"Female teacher apprentices. The first qualified female teachers in the Canary IslandsHistory of Education and Children's Literature, Vol. 19, Núm. 2, pp. 61-83",
53,Teresa,González Pérez,Teoría e Historia de la Educación,5,"La represión franquista contra las mujeres en Canarias: una historia olvidadaMemoria Antifranquista, Año 19, Núm. 24, pp. 16-21",
54,Teresa,González Pérez,Teoría e Historia de la Educación,5,"The Effects of Attitudes towards Mathematics and STEM Education on High-Ability Students and a Community SampleEducation Sciences, Vol. 14, Núm. 1",
50,Teresa,González Pérez,Teoría e Historia de la Educación,5,"Aprendizas de maestras. Primeras maestras tituladas en CanariasHistory of Education & Children's Literature, Año XIX, Núm. 2, pp. 61-83",
129,María José,Guerra Palmero,Filosofía Moral,0,,
55,Judit,Gutiérrez de Armas,Historia Moderna,2,"Covert 19th century political intrigues of Tenerife nobility revealed by cryptanalyzing an encrypted letterCryptologia, pp. 1-27",
56,Judit,Gutiérrez de Armas,Historia Moderna,2,"Repliegue y continuidad. El caso de las élites nobiliarias de Canarias entre los siglos XVIII y XIXTiempos modernos: Revista Electrónica de Historia Moderna, Vol. 14, Núm. 48, pp. 285-305",
130,Rosa María,Henríquez Rodríguez,Sociología,0,,
57,Débora Estefanía,Hernández Lorenzo,Trabajo Social y Servicios Sociales,1,"Time Use, Health, and Well-Being across the Life Cycle: A Gender AnalysisSocial Sciences, Vol. 13, Núm. 6",
131,José Ulises,Hernández Plasencia,Derecho Penal,0,,
58,María Beatriz,Hernández Pérez,Filología Inglesa,1,"«/ˈmɛəɹi/, /məˈɹiː/, /məˈɹiːə/, /ma'ɾi.a/»María McMahon, «in memoriam»Revista de Filología de la Universidad de La Laguna, Núm. 49, pp. 437-438",
132,Marta Esther,Jiménez Jaén,Sociología,0,,
